otto,Name,Team,Pos,$
15962,Zack Wheeler,PHI,SP,22.6
42156,Zach Neto,LAA,SS,22.1
22674,Austin Riley,ATL,3B,22.0
40255,Ben Rice,NYY,C,21.8
21052,Dylan Cease,TOR,SP,21.7
42737,Spencer Schwellenbach,ATL,SP,21.5
14934,Manny Machado,SDP,3B,21.3
42409,Roman Anthony,BOS,OF,21.1
6305,Mike Trout,LAA,OF,20.6
39277,Jackson Chourio,MIL,OF,20.6
37841,Michael Busch,CHC,1B,20.3
23824,Hunter Greene,CIN,SP,20.2
18113,Sonny Gray,BOS,SP,20.2
22048,Taylor Ward,BAL,OF,20.1
36669,Shea Langeliers,ATH,C,20.1
35874,Kyle Bradish,BAL,SP,19.9
23762,Jazz Chisholm Jr.,NYY,2B,19.4
18368,Trea Turner,PHI,SS,19.3
38388,Tyler Soderstrom,ATH,OF,19.3
18236,Tyler Glasnow,LAD,SP,19.3
18480,Alex Bregman,CHC,3B,19.2
18407,Willy Adames,SFG,SS,18.7
32009,José Soriano,LAA,SP,18.7
9668,Eugenio Suárez,0,3B,18.6
40862,Mason Miller,SDP,RP,18.6
40142,Jackson Merrill,SDP,OF,18.5
35196,Joe Ryan,MIN,SP,18.5
18517,Yandy Díaz,TBR,1B,18.4
23654,Will Smith,LAD,C,18.4
18378,Matt Chapman,SFG,3B,18.3
40389,Hunter Goodman,COL,C,18.1
22391,William Contreras,MIL,C,18.0
19168,Freddy Peralta,NYM,SP,17.9
23651,Teoscar Hernández,LAD,OF,17.8
23840,Randy Arozarena,SEA,OF,17.5
18479,Ian Happ,CHC,OF,17.5
31194,Ranger Suárez,BOS,SP,17.3
38398,Jordan Westburg,BAL,2B,17.2
44336,Nolan McLean,NYM,SP,17.2
18126,Brandon Nimmo,TEX,OF,17.0
45706,Chase Burns,CIN,RP/SP,16.7
14893,Christian Yelich,MIL,OF,16.6
23792,Jo Adell,LAA,OF,16.6
23693,Brandon Woodruff,MIL,SP,16.4
18786,Pablo López,MIN,SP,16.4
19328,Cody Bellinger,NYY,OF,16.3
37480,Kyle Stowers,MIA,OF,16.2
37094,Vinnie Pasquantino,KCR,1B,16.1
35922,Drew Rasmussen,TBR,SP,16.1
18255,Max Muncy,LAD,3B,15.9
38559,Eury Pérez,MIA,SP,15.8
37174,Matt Wallner,MIN,OF,15.7
26198,Geraldo Perdomo,ARI,SS,15.5
23767,Bo Bichette,NYM,SS,15.5
35939,Jeremy Peña,HOU,SS,15.2
35566,Kris Bubic,KCR,RP/SP,15.2
5918,Jose Altuve,HOU,2B,15.0
13702,Jurickson Profar,ATL,OF,15.0
33685,Jarren Duran,BOS,OF,14.9
18547,Trent Grisham,NYY,OF,14.9
27058,Wilyer Abreu,BOS,OF,14.8
38754,Cade Smith,CLE,RP,14.8
38736,Spencer Strider,ATL,SP,14.7
37300,Kerry Carpenter,DET,OF,14.5
33647,Shane McClanahan,TBR,SP,14.5
31751,Michael King,SDP,SP,14.1
48240,Munetaka Murakami,CHW,Util,13.9
33949,Andy Pages,LAD,OF,13.9
12398,Willson Contreras,BOS,1B,13.9
32291,Oneil Cruz,PIT,OF,13.6
26099,Iván Herrera,STL,C,13.4
23831,Isaac Paredes,HOU,3B,13.4
18487,Gleyber Torres,DET,2B,13.4
5201,Giancarlo Stanton,NYY,OF,13.3
19398,Nick Pivetta,SDP,SP,13.3
31741,Brandon Lowe,PIT,2B,13.1
23825,Bryan Reynolds,PIT,OF,13.0
38327,Pete Crow-Armstrong,CHC,OF,12.9
33217,Jonathan Aranda,TBR,1B,12.7
23834,Heliot Ramos,SFG,OF,12.7
23810,MacKenzie Gore,WSN,SP,12.7
31541,David Peterson,NYM,SP,12.6
23833,Daulton Varsho,TOR,OF,12.5
38320,Spencer Torkelson,DET,1B,12.4
45790,Trey Yesavage,TOR,RP/SP,12.4
18196,Kevin Gausman,TOR,SP,12.3
23601,Edwin Díaz,LAD,RP,12.2
35628,Ezequiel Tovar,COL,SS,12.1
22559,Jhoan Duran,PHI,RP,12.1
40508,Kyle Manzardo,CLE,1B,12.0
8626,Salvador Perez,KCR,C,12.0
23856,Anthony Santander,TOR,OF,11.8
38368,Alec Burleson,STL,OF,11.8
20920,Jack Flaherty,DET,SP,11.8
42358,Sal Stewart,CIN,3B,11.7
22655,Josh Naylor,SEA,1B,11.6
13217,Jorge Polanco,NYM,2B,11.4
18506,Dansby Swanson,CHC,SS,11.4
23790,Clay Holmes,NYM,SP,11.4
40552,Emmet Sheehan,LAD,RP/SP,11.4
23732,Luis Castillo,SEA,SP,11.4
33259,Andrés Muñoz,SEA,RP,11.3
34788,Lawrence Butler,ATH,OF,11.2
6130,Marcell Ozuna,0,Util,11.1
35808,Reese Olson,DET,RP/SP,11.0
26154,Maikel Garcia,KCR,SS,10.9
18160,Carlos Correa,HOU,SS,10.7
34619,Brendan Donovan,STL,SS,10.7
42221,Drake Baldwin,ATL,C,10.7
23814,Shane Bieber,TOR,SP,10.6
36922,CJ Abrams,WSN,SS,10.5
33325,Edward Cabrera,CHC,SP,10.5
18465,Matthew Boyd,CHC,SP,10.4
42711,Jacob Misiorowski,MIL,RP/SP,10.3
18162,Jorge Soler,LAA,OF,10.2
37295,Michael Harris II,ATL,OF,10.2
34804,Miguel Vargas,CHW,3B,10.0
44003,Jacob Wilson,ATH,SS,9.8
23639,Mickey Moniak,COL,OF,9.8
21200,Ramón Laureano,SDP,OF,9.7
5644,Aroldis Chapman,BOS,RP,9.7
18153,Trevor Story,BOS,SS,9.6
39978,Colton Cowser,BAL,OF,9.6
20900,Bryan Abreu,HOU,RP,9.6
35602,Abner Uribe,MIL,RP,9.6
42126,Jackson Holliday,BAL,SS,9.5
44057,Luke Keaschall,MIN,2B,9.5
19268,Devin Williams,NYM,RP,9.5
37216,Spencer Steer,CIN,OF,9.4
18389,Christian Walker,HOU,1B,9.4
44544,Grant Taylor,CHW,RP/SP,9.3
31438,Griffin Jax,TBR,RP,9.3
18462,Joe Musgrove,SDP,SP,9.3
33634,Brice Turang,MIL,2B,9.2
21156,Ryan O'Hearn,PIT,OF,9.1
40978,Tanner Bibee,CLE,SP,9.1
40941,Gavin Williams,CLE,SP,9.1
23745,Adolis García,PHI,OF,9.0
34601,Lars Nootbaar,STL,OF,9.0
35776,Braxton Ashcraft,PIT,RP/SP,9.0
40262,Colson Montgomery,CHW,SS,8.8
48239,Kazuma Okamoto,TOR,Util,8.8
36686,Nick Lodolo,CIN,SP,8.7
43589,Cam Schlittler,NYY,SP,8.7
38374,Colt Keith,DET,2B,8.6
27207,Alejandro Kirk,TOR,C,8.4
23780,Luis Robert Jr.,NYM,OF,8.4
21039,Justin Steele,CHC,SP,8.4
33607,Trevor Rogers,BAL,SP,8.3
33612,Grayson Rodriguez,LAA,SP,8.3
37257,Adley Rutschman,BAL,C,8.2
18263,Marcus Semien,NYM,2B,8.1
26292,Yainer Diaz,HOU,C,8.0
33609,Alec Bohm,PHI,3B,7.9
20732,Sandy Alcantara,MIA,SP,7.7
13117,Xander Bogaerts,SDP,SS,7.5
18359,Carlos Rodón,NYY,SP,7.4
18391,Josh Hader,HOU,RP,7.4
37234,Matt Brash,SEA,RP,7.4
36803,Brenton Doyle,COL,OF,7.3
17763,Merrill Kelly,ARI,SP,7.3
23796,Royce Lewis,MIN,3B,7.2
18152,Josh Bell,MIN,1B,7.2
35824,Steven Kwan,CLE,OF,7.2
23723,Braxton Garrett,MIA,RP/SP,7.2
19296,Tyler O'Neill,BAL,OF,7.1
27148,Joey Cantillo,CLE,RP/SP,7.1
23788,TJ Friedl,CIN,OF,7.0
18397,Ozzie Albies,ATL,2B,7.0
43932,Nolan Schanuel,LAA,1B,7.0
37635,Jasson Domínguez,NYY,OF,6.9
18257,Sean Manaea,NYM,SP,6.9
42723,Kodai Senga,NYM,RP/SP,6.9
27185,Garrett Whitlock,BOS,RP,6.7
44515,Connelly Early,BOS,RP/SP,6.7
23794,Shane Baz,BAL,SP,6.7
37427,Francisco Alvarez,NYM,C,6.6
37531,Bryson Stott,PHI,SS,6.6
34396,Jose A. Ferrer,SEA,RP,6.6
18116,Gerrit Cole,NYY,SP,6.4
23809,Jake Burger,TEX,1B,6.3
27208,Jeremiah Estrada,SDP,RP,6.3
23868,Brandon Marsh,PHI,OF,6.2
22331,Jesús Sánchez,HOU,OF,6.2
42169,Jakob Marsee,MIA,OF,6.2
19520,Gabe Speier,SEA,RP,6.2
36030,Noelvi Marte,CIN,OF,6.1
42719,Cade Horton,CHC,SP,6.1
21961,Cody Ponce,TOR,RP/SP,6.1
26446,Will Vest,DET,RP,6.1
31951,David Bednar,NYY,RP,6.1
34817,Addison Barger,TOR,OF,5.9
40564,Bubba Chandler,PIT,RP/SP,5.9
40371,Matt McLain,CIN,2B,5.8
42277,Jordan Beck,COL,OF,5.8
33672,Aaron Ashby,MIL,RP/SP,5.8
22004,Jake Cronenworth,SDP,SS,5.6
#N/A,Foster Griffin,WSN,RP/SP,5.6
42592,Shane Smith,CHW,SP,5.6
33652,Ryan Jeffers,MIN,C,5.5
40714,Daylen Lile,WSN,OF,5.5
26857,Mark Vientos,NYM,3B,5.5
38361,Jared Jones,PIT,SP,5.5
18415,Reynaldo López,ATL,RP/SP,5.5
48241,Tatsuya Imai,HOU,SP,5.5
18383,Mike Yastrzemski,ATL,OF,5.2
33619,Jonathan India,KCR,2B,5.2
42765,Parker Messick,CLE,SP,5.2
33622,Trevor Larnach,MIN,OF,5.1
26134,Gabriel Moreno,ARI,C,5.0
18491,Andrew Benintendi,CHW,OF,5.0
12379,Nolan Arenado,ARI,3B,5.0
14941,Robbie Ray,SFG,SP,4.9
23672,Adrian Morejon,SDP,RP,4.9
21708,Willi Castro,COL,2B,4.8
44524,Jung Hoo Lee,SFG,OF,4.8
40820,Landen Roupp,SFG,RP/SP,4.8
20989,Trevor Megill,MIL,RP,4.8
33548,Luis García Jr.,WSN,2B,4.6
20421,Garrett Cleavinger,TBR,RP,4.6
45720,Jac Caglianone,KCR,OF,4.5
33616,Casey Mize,DET,SP,4.4
22668,Michael Soroka,ARI,RP/SP,4.3
35205,Ryan Walker,SFG,RP,4.3
18644,Jeff McNeil,ATH,2B,4.2
36682,Quinn Priester,MIL,SP,4.2
23691,Matt Strahm,KCR,RP,4.2
37649,Ryan Pepiot,TBR,SP,4.2
43949,Kyle Teel,CHW,C,4.0
37469,Andrew Vaughn,MIL,1B,4.0
18398,Chris Bassitt,0,SP,4.0
23679,A.J. Minter,NYM,RP,4.0
33907,Ceddanne Rafaela,BOS,2B,3.9
33670,Ryan Weathers,NYY,RP/SP,3.8
38334,Cade Cavalli,WSN,SP,3.8
23779,Zac Gallen,0,SP,3.7
42666,Orion Kerkering,PHI,RP,3.7
42312,Logan Henderson,MIL,RP/SP,3.7
27074,Ben Brown,CHC,RP/SP,3.7
19422,Tyler Mahle,SFG,SP,3.6
36325,Agustín Ramírez,MIA,Util,3.5
18328,Ryan McMahon,NYY,3B,3.5
14895,Joc Pederson,TEX,Util,3.5
22078,Robert Suarez,ATL,RP,3.5
29222,Aaron Bummer,ATL,RP,3.5
26570,Otto Lopez,MIA,SS,3.4
37091,Spencer Horwitz,PIT,1B,3.2
23813,Corbin Burnes,ARI,SP,3.2
29992,José Alvarado,PHI,RP,3.2
38328,Reid Detmers,LAA,RP/SP,3.2
43911,Hunter Barco,PIT,RP/SP,3.2
43950,Dylan Crews,WSN,OF,3.1
18283,Hunter Harvey,CHC,RP,3.1
21075,Tanner Scott,LAD,RP,3.1
20936,Mitch Keller,PIT,SP,3.1
26734,Davis Schneider,TOR,2B,3.0
20435,Pete Fairbanks,MIA,RP,3.0
30833,Drew Anderson,DET,RP/SP,3.0
42176,Chase DeLauter,CLE,OF,2.9
32051,Camilo Doval,NYY,RP,2.9
32611,Dustin May,STL,RP/SP,2.9
22809,Phil Maton,CHC,RP,2.9
37786,Josh Jung,TEX,3B,2.8
38641,Jared Koenig,MIL,RP,2.8
22651,Ryan Helsley,BAL,RP,2.8
8550,Fernando Cruz,NYY,RP,2.8
38404,Masyn Winn,STL,SS,2.7
33627,Nico Hoerner,CHC,2B,2.7
23656,Lucas Erceg,KCR,RP,2.7
40308,Matt Svanson,STL,RP,2.7
18422,Raisel Iglesias,ATL,RP,2.7
35532,Alex Vesia,LAD,RP,2.6
18357,Aaron Nola,PHI,SP,2.6
38781,Daniel Palencia,CHC,RP,2.5
18364,Jeff Hoffman,TOR,RP,2.5
33395,Edwin Uceta,TBR,RP,2.5
37674,Tyler Holton,DET,RP/SP,2.5
42653,Zebby Matthews,MIN,RP/SP,2.5
43841,Jonah Tong,NYM,SP,2.5
37700,Erik Miller,SFG,RP,2.5
37181,Brett Baty,NYM,2B,2.4
20545,Luis Arraez,0,2B,2.4
31572,Gavin Sheets,SDP,OF,2.4
18272,J.P. Crawford,SEA,SS,2.4
37797,JJ Bleday,CIN,OF,2.3
42279,Dylan Beavers,BAL,OF,2.3
36683,Anthony Volpe,NYY,SS,2.2
40648,Michael McGreevy,STL,RP/SP,2.2
33623,Nolan Gorman,STL,2B,2.1
18455,Chris Martin,TEX,RP,2.1
37210,Bryan King,HOU,RP,2.1
33656,Yusei Kikuchi,LAA,SP,2.0
33767,Brayan Bello,BOS,SP,2.0
46091,Roki Sasaki,LAD,RP/SP,2.0
17983,Alex Cobb,0,SP,2.0
22876,Patrick Sandoval,BOS,RP/SP,2.0
38389,Evan Carter,TEX,OF,1.9
44526,Shota Imanaga,CHC,SP,1.9
23818,JoJo Romero,STL,RP,1.9
19136,Gregory Soto,PIT,RP,1.9
40550,Bryce Miller,SEA,SP,1.8
38317,Austin Wells,NYY,C,1.7
22654,Tyler Stephenson,CIN,C,1.7
32719,Dylan Lee,ATL,RP,1.7
18558,Shawn Armstrong,CLE,RP/SP,1.7
35811,Mike Burrows,HOU,RP/SP,1.7
31984,Robert Garcia,TEX,RP,1.6
38780,Erik Sabrowski,CLE,RP,1.6
37536,Dominic Canzone,SEA,OF,1.5
14864,J.T. Realmuto,PHI,C,1.5
27723,Jason Adam,SDP,RP,1.5
38403,Carmen Mlodzinski,PIT,RP/SP,1.5
18375,Grant Holmes,ATL,RP/SP,1.4
34602,Romy Gonzalez,BOS,2B,1.3
40298,Sal Frelick,MIL,OF,1.1
33645,Xavier Edwards,MIA,SS,1.0
40398,Caleb Durbin,MIL,2B,1.0
20350,Rhys Hoskins,0,1B,1.0
42304,Chase Meidroth,CHW,SS,1.0
22616,Cedric Mullins,TBR,OF,1.0
40284,Connor Norby,MIA,3B,1.0
33676,Bo Naylor,CLE,C,1.0
21968,Harrison Bader,0,OF,1.0
26882,Tyler Freeman,COL,2B,1.0
40095,Marcelo Mayer,BOS,SS,1.0
23805,Austin Hays,0,OF,1.0
23752,Josh Lowe,LAA,OF,1.0
31703,Tommy Edman,LAD,2B,1.0
39288,Samuel Basallo,BAL,C,1.0
26234,Wenceel Pérez,DET,OF,1.0
45769,Konnor Griffin,PIT,SS,1.0
31687,Sean Murphy,ATL,C,1.0
35181,Logan O'Hoppe,LAA,C,1.0
21041,Lane Thomas,KCR,OF,1.0
39285,Moisés Ballesteros,CHC,C,1.0
4374,Paul Goldschmidt,0,1B,1.0
38366,Jordan Walker,STL,OF,1.0
38127,Ha-Seong Kim,ATL,SS,1.0
23722,Lourdes Gurriel Jr.,ARI,OF,1.0
31958,Ernie Clement,TOR,SS,1.0
44223,Kevin McGonigle,DET,SS,1.0
33954,Heriberto Hernández,MIA,OF,1.0
38367,Owen Caissie,MIA,OF,1.0
36984,Jared Triolo,PIT,SS,1.0
44147,Bryce Eldridge,SFG,1B,1.0
37960,Josh Smith,TEX,SS,1.0
38383,Casey Schmitt,SFG,2B,1.0
21023,Sam Hentges,SFG,RP,1.0
31812,Brendon Little,TOR,RP,1.0
22527,Eduard Bazardo,SEA,RP,1.0
40937,Noah Cameron,KCR,SP,1.0
40931,Brant Hurter,DET,RP,1.0
