otto,Name,Team,Pos,$
20917,Foster Griffin,WSN,RP/SP,$4.6
38361,Jared Jones,PIT,SP,$4.6
14941,Robbie Ray,SFG,SP,$4.5
36682,Quinn Priester,MIL,SP,$4.5
23691,Matt Strahm,KCR,RP,$4.5
33616,Casey Mize,DET,SP,$4.5
14895,Joc Pederson,TEX,Util,$4.4
42666,Orion Kerkering,PHI,RP,$4.4
18491,Andrew Benintendi,CHW,OF,$4.3
40564,Bubba Chandler,PIT,RP/SP,$4.3
33672,Aaron Ashby,MIL,RP/SP,$4.3
37091,Spencer Horwitz,PIT,1B,$4.1
19422,Tyler Mahle,SFG,SP,$4.1
33623,Nolan Gorman,STL,2B,$4.0
26857,Mark Vientos,NYM,3B,$4.0
18283,Hunter Harvey,CHC,RP,$3.9
37216,Spencer Steer,CIN,OF,$3.8
18398,Chris Bassitt,BAL,SP,$3.8
20936,Mitch Keller,PIT,SP,$3.8
23796,Royce Lewis,MIN,3B,$3.7
42312,Logan Henderson,MIL,RP/SP,$3.7
43949,Kyle Teel,CHW,C,$3.6
37469,Andrew Vaughn,MIL,1B,$3.6
33670,Ryan Weathers,NYY,RP/SP,$3.5
22078,Robert Suarez,ATL,RP,$3.5
40648,Michael McGreevy,STL,RP/SP,$3.4
20435,Pete Fairbanks,MIA,RP,$3.4
42653,Zebby Matthews,MIN,RP/SP,$3.4
43950,Dylan Crews,WSN,OF,$3.3
23813,Corbin Burnes,ARI,SP,$3.3
21075,Tanner Scott,LAD,RP,$3.3
32611,Dustin May,STL,RP/SP,$3.3
44524,Jung Hoo Lee,SFG,OF,$3.2
22809,Phil Maton,CHC,RP,$3.2
48241,Tatsuya Imai,HOU,SP,$3.2
38403,Carmen Mlodzinski,PIT,RP/SP,$3.2
29992,José Alvarado,PHI,RP,$3.2
33627,Nico Hoerner,CHC,2B,$3.1
29222,Aaron Bummer,ATL,RP,$3.1
32051,Camilo Doval,NYY,RP,$3.1
18422,Raisel Iglesias,ATL,RP,$3.0
42279,Dylan Beavers,BAL,OF,$2.9
40398,Caleb Durbin,BOS,2B,$2.9
38641,Jared Koenig,MIL,RP,$2.9
23679,A.J. Minter,NYM,RP,$2.8
27074,Ben Brown,CHC,RP/SP,$2.8
22651,Ryan Helsley,BAL,RP,$2.8
26570,Otto Lopez,MIA,SS,$2.7
46091,Roki Sasaki,LAD,RP/SP,$2.7
35532,Alex Vesia,LAD,RP,$2.7
44223,Kevin McGonigle,DET,SS,$2.6
30833,Drew Anderson,DET,RP/SP,$2.6
38781,Daniel Palencia,CHC,RP,$2.5
8550,Fernando Cruz,NYY,RP,$2.4
39288,Samuel Basallo,BAL,C,$2.3
18364,Jeff Hoffman,TOR,RP,$2.3
40308,Matt Svanson,STL,RP,$2.3
18272,J.P. Crawford,SEA,SS,$2.2
23656,Lucas Erceg,KCR,RP,$2.2
38334,Cade Cavalli,WSN,SP,$2.2
33395,Edwin Uceta,TBR,RP,$2.2
23805,Austin Hays,CHW,OF,$2.1
35811,Mike Burrows,HOU,RP/SP,$2.1
37674,Tyler Holton,DET,RP/SP,$2.1
37210,Bryan King,HOU,RP,$2.1
43911,Hunter Barco,PIT,RP/SP,$2.1
38404,Masyn Winn,STL,SS,$2.0
40550,Bryce Miller,SEA,SP,$2.0
33767,Brayan Bello,BOS,SP,$2.0
20545,Luis Arraez,SFG,2B,$1.9
38389,Evan Carter,TEX,OF,$1.9
23818,JoJo Romero,STL,RP,$1.9
14864,J.T. Realmuto,PHI,C,$1.8
12379,Nolan Arenado,ARI,3B,$1.8
37826,Ryne Nelson,ARI,SP,$1.8
42176,Chase DeLauter,CLE,OF,$1.7
43841,Jonah Tong,NYM,RP/SP,$1.7
18455,Chris Martin,TEX,RP,$1.7
44526,Shota Imanaga,CHC,SP,$1.7
32719,Dylan Lee,ATL,RP,$1.7
21968,Harrison Bader,SFG,OF,$1.6
31984,Robert Garcia,TEX,RP,$1.6
19136,Gregory Soto,PIT,RP,$1.6
18558,Shawn Armstrong,CLE,RP,$1.6
22524,Brusdar Graterol,LAD,RP,$1.6
37797,JJ Bleday,CIN,OF,$1.5
27723,Jason Adam,SDP,RP,$1.4
38409,Ian Seymour,TBR,RP/SP,$1.3
37700,Erik Miller,SFG,RP,$1.3
37536,Dominic Canzone,SEA,OF,$1.2
23752,Josh Lowe,LAA,OF,$1.2
40155,Jack Leiter,TEX,SP,$1.2
45713,JJ Wetherholt,STL,SS,$1.1
18375,Grant Holmes,ATL,RP/SP,$1.1
40298,Sal Frelick,MIL,OF,$1.0
45769,Konnor Griffin,PIT,SS,$1.0
22654,Tyler Stephenson,CIN,C,$1.0
31703,Tommy Edman,LAD,2B,$1.0
20350,Rhys Hoskins,0,1B,$1.0
18328,Ryan McMahon,NYY,3B,$1.0
31572,Gavin Sheets,SDP,OF,$1.0
38317,Austin Wells,NYY,C,$1.0
26234,Wenceel Pérez,DET,OF,$1.0
33676,Bo Naylor,CLE,C,$1.0
22616,Cedric Mullins,TBR,OF,$1.0
36683,Anthony Volpe,NYY,SS,$1.0
38350,Edouard Julien,COL,2B,$1.0
26882,Tyler Freeman,COL,2B,$1.0
35181,Logan O'Hoppe,LAA,C,$1.0
37786,Josh Jung,TEX,3B,$1.0
35487,Kody Clemens,MIN,2B,$1.0
37960,Josh Smith,TEX,SS,$1.0
33645,Xavier Edwards,MIA,SS,$1.0
21041,Lane Thomas,KCR,OF,$1.0
23808,Pavin Smith,ARI,1B,$1.0
26080,Christopher Morel,MIA,OF,$1.0
40505,Carter Jensen,KCR,C,$1.0
42304,Chase Meidroth,CHW,SS,$1.0
36984,Jared Triolo,PIT,SS,$1.0
38367,Owen Caissie,MIA,OF,$1.0
31687,Sean Murphy,ATL,C,$1.0
44348,CJ Kayfus,CLE,OF,$1.0
34602,Romy Gonzalez,BOS,2B,$1.0
32576,Gavin Lux,TBR,2B,$1.0
39285,Moisés Ballesteros,CHC,C,$1.0
38366,Jordan Walker,STL,OF,$1.0
36738,Isaac Collins,KCR,OF,$1.0
45947,Carson Benge,NYM,OF,$1.0
31958,Ernie Clement,TOR,SS,$1.0
42741,Robby Snelling,MIA,SP,$1.0
22527,Eduard Bazardo,SEA,RP,$1.0
40476,Robert Gasser,MIL,RP/SP,$1.0
#N/A,Sam Hentges,SFG,RP,$1.0
35696,Jacob Lopez,ATH,SP,$1.0
#N/A,Alex Cobb,0,SP,$1.0
