"Ottoneu ID",Name,"FG ID","FG Minor ID","MLBAM ID",Birthday,"Ottoneu Positions"
5671,"Madison Bumgarner",5524,sa388396,518516,08/01/1989,RP
5677,"Craig Kimbrel",6655,sa454499,518886,05/28/1988,RP
5680,"Freddie Freeman",5361,sa390291,518692,09/12/1989,1B
5723,"Christian Vazquez",9774,sa455056,543877,08/21/1990,C
5735,"Ryan Pressly",7005,sa390190,519151,12/15/1988,RP
5750,"Julio Teheran",6797,sa394370,527054,01/27/1991,RP
5770,"Aaron Hicks",5297,sa454371,543305,10/02/1989,Util
5778,"Liam Hendriks",3548,sa393300,521230,02/10/1989,RP
5821,"Sandy Leon",5273,sa392375,506702,03/13/1989,C
5845,"Darin Ruf",9929,sa502060,573131,07/28/1986,Util
5863,"Jake Diekman",5003,sa392235,518617,01/21/1987,RP
5900,"Juan Minaya",10341,sa503614,573668,09/18/1990,RP
5903,"J.D. Martinez",6184,sa502044,502110,08/21/1987,Util
5913,"Jose Cisnero",6399,sa503949,542585,04/11/1989,RP
5918,"Jose Altuve",5417,sa455591,514888,05/06/1990,2B/OF
5943,"Chase Anderson",6895,sa501567,502624,11/30/1987,RP
5950,"Roberto Perez",2900,sa328422,547379,12/23/1988,Util
6008,"Aaron Loup",10343,sa501580,571901,12/19/1987,RP
6047,"Joe Wieland",6109,sa454523,543921,01/21/1990,RP
6063,"Leury Garcia",5913,sa456103,544725,03/18/1991,Util
6066,"Robbie Erlin",10354,sa501223,572362,10/08/1990,RP
6080,"Hernan Perez",5751,sa503318,541650,03/26/1991,Util
6091,"Avisail Garcia",5760,sa497563,541645,06/12/1991,Util
6106,"Miles Mikolas",9803,sa501497,571945,08/23/1988,SP
6130,"Marcell Ozuna",10324,sa503013,542303,11/12/1990,Util
6175,"Kirby Yates",9073,sa505235,489446,03/25/1987,RP
6183,"Wilking Rodriguez",8801,sa503639,516853,03/02/1990,RP
6195,"Alex Colomé",6661,sa456064,517008,12/31/1988,RP
6225,"Caleb Thielbar",10078,sa502074,573204,01/31/1987,RP
6232,"Jake Odorizzi",6397,sa454394,543606,03/27/1990,RP
6255,"Brian Moran",9646,sa501495,572383,09/30/1988,RP
6259,"James Jones",9767,sa501216,571825,09/24/1988,Util
6280,"Robert Stock",6576,sa500827,476594,11/21/1989,SP/RP
6289,"Shelby Miller",10197,sa500730,571946,10/10/1990,RP
6292,"Joe Kelly",9761,sa501235,523260,06/09/1988,RP
6302,"Matt Adams",9393,sa502166,571431,08/31/1988,Util
6305,"Mike Trout",10155,sa500736,545361,08/07/1991,OF
6307,"Jean Segura",5933,sa455922,516416,03/17/1990,Util
6320,"Randal Grichuk",10243,sa500734,545341,08/13/1991,OF
6524,"Cole Smith",4728,,461771,,Util
6718,"Sean Doolittle",1581,sa389914,448281,09/26/1986,RP
6965,"Corey Kluber",2429,sa390385,446372,04/10/1986,RP
7114,"Tommy Hunter",1157,sa389446,488984,07/03/1986,RP
7157,"Neftali Feliz",18,sa328577,491703,05/02/1988,RP
7372,"Fernando Abad",4994,sa393032,472551,12/17/1985,RP
7549,"Jason Heyward",4940,sa388409,518792,08/09/1989,OF
7578,"Charlie Culberson",3298,sa389929,518586,04/10/1989,Util
7624,"Mike Moustakas",4892,sa388370,519058,09/11/1988,Util
7676,"Ryan Brasier",5615,sa390196,518489,08/26/1987,RP
7793,"Ramon Mendoza",,sa3007513,540990,08/31/2000,3B
7962,"Danny Duffy",3542,sa390368,518633,12/21/1988,RP
8106,"Marcus Walden",8004,sa389195,519393,09/13/1988,RP
8139,"Richard Bleier",7803,sa454724,542947,04/16/1987,RP
8147,"Martin Perez",6902,sa455689,527048,04/04/1991,SP
8257,"Hunter Strickland",7836,sa392092,519326,09/24/1988,RP
8259,"Charlie Blackmon",7859,sa454446,453568,07/01/1986,Util
8445,"Ehire Adrianza",8418,sa455889,501303,08/21/1989,Util
8520,"Patrick Corbin",9323,sa500846,571578,07/19/1989,SP
8538,"Dan Straily",9460,sa502143,573185,12/01/1988,RP
8542,"Max Stassi",10059,sa501262,545358,03/15/1991,Util
8550,"Fernando Cruz",7048,sa389855,518585,03/28/1990,RP
8563,"Wil Myers",10047,sa501214,571976,12/10/1990,Util
8577,"Collin McHugh",7531,sa455151,543521,06/19/1987,RP
8583,"Wilmer Flores",5827,sa455617,527038,08/06/1991,1B
8626,"Salvador Perez",7304,sa392995,521692,05/10/1990,C/1B
8628,"Mike Montgomery",4869,sa454399,543557,07/01/1989,RP
8631,"Eric Hosmer",3516,sa454349,543333,10/24/1989,Util
8651,"Brandon Belt",10264,sa327177,474832,04/20/1988,Util
8658,"Wade Miley",8779,sa454412,489119,11/13/1986,SP/RP
8694,"Jordan Lyles",7593,sa454403,543475,10/19/1990,RP
8739,"Adam Wainwright",2233,sa184098,425794,08/30/1981,RP
8948,"Jun Ho Ha",,sa3012062,547303,,Util
9001,"Rafael Garcia",26809,,469498,04/28/2001,Util
9018,"Rafael Ortega",10323,sa506292,542364,05/15/1991,OF
9038,"Jackson Paz",2837,,455057,,Util
9058,"David Peralta",2136,sa329170,444482,08/14/1987,Util
9092,"Cesar Hernandez",10556,sa503285,514917,05/23/1990,Util
9122,"Juan Centeno",7168,sa388982,518542,11/16/1989,Util
9198,"Todd Moser",4201,,451731,,Util
9202,"Josue Gonzalez",,sa3017175,547668,10/30/2003,1B
9219,"Benjamin Grezlovski",4104,,444324,,Util
9232,"Rich Townsend",262,,459341,,Util
9288,"T.J. McFarland",3237,sa390408,519008,06/08/1989,RP
9304,"Daniel Hudson",7146,sa454564,543339,03/09/1987,RP
9335,"Nathan Eovaldi",9132,sa455169,543135,02/13/1990,SP
9390,"Francisco Arcia",10286,sa455908,516472,09/14/1989,Util
9395,"Kyle Higashioka",5517,sa454957,543309,04/20/1990,C
9574,"Elias Diaz",11680,sa504943,553869,11/17/1990,C
9598,"Erasmo Ramirez",10314,sa504792,541640,05/02/1990,RP
9639,"Omar Narvaez",13338,sa504967,553882,02/10/1992,C
9663,"Endrys Briceno",,sa505062,553968,02/07/1992,RP
9668,"Eugenio Suarez",12552,sa505033,553993,07/18/1991,3B
9673,"Dixon Machado",11472,sa505035,553988,02/22/1992,SS/3B
9791,"Carlos Perez",10642,sa503317,542208,10/27/1990,C
9840,"Jose Urena",11589,sa506871,570632,09/12/1991,SP/RP
9968,"Juan Sosa",,sa8473,516755,,Util
9974,"Jesus Aguilar",11342,sa505981,542583,06/30/1990,Util
9984,"Erik Gonzalez",13369,sa506001,570481,08/31/1991,Util
10002,"Gio Urshela",10681,sa505997,570482,10/11/1991,3B
10003,"Phillips Valdez",15605,sa506127,570488,11/16/1991,RP
10026,"Jairo Rodriguez",,sa392085,514856,,Util
10043,"Luis Cessa",13345,sa506912,570666,04/25/1992,RP
10098,"Enny Romero",4001,sa503984,544836,01/24/1991,RP
10429,"Yimi Garcia",12095,sa506959,554340,08/18/1990,RP
10508,"Joely Rodriguez",11487,sa507216,570257,11/14/1991,RP
10626,"Jose Quintana",11423,sa505541,500779,01/24/1989,SP
10763,"Jonathan Schoop",11265,sa507129,570731,10/16/1991,Util
10898,"William Cuevas",13331,sa506245,571035,10/14/1990,RP
11026,"Albert Suarez",6175,sa455792,544150,10/08/1989,SP/RP
11121,"Jiwan James",7062,,573408,,Util
11277,"Cody Harris",,sa550913,573569,,Util
11320,"Edwin Escobar",10337,sa502902,546276,04/22/1992,RP
11406,"Rubby De La Rosa",3862,sa503952,523989,03/04/1989,RP
11508,"Enrique Hernandez",10472,sa501542,571771,08/24/1991,1B/2B/3B/OF/RP
11579,"Kelly Dugan",,sa500838,571633,09/18/1990,Util
11834,"Enrique Burgos",3895,sa503551,542609,11/23/1990,RP
11967,"Billy Hamilton",10199,sa500815,571740,09/09/1990,Util
12008,"Shane Greene",10756,sa501767,572888,11/17/1988,RP
12027,"Andrew Bellatti",10657,sa501686,571479,08/05/1991,RP
12068,"Michael Tonkin",10315,sa455561,543859,11/19/1989,RP
12139,"Michael A. Taylor",11489,sa501492,572191,03/26/1991,OF
12258,"AJ Pollock",9256,sa500728,572041,12/05/1987,Util
12298,"Luis Rengel",,sa202913,574968,,Util
12358,"Trevor Rosenthal",10745,sa502050,572096,05/29/1990,RP
12379,"Nolan Arenado",9777,sa500816,571448,04/16/1991,3B
12398,"Willson Contreras",11609,sa508176,575929,05/13/1992,1B
12453,"Jon Singleton",10441,sa501596,572138,09/18/1991,1B
12512,"Trayce Thompson",9952,sa500820,572204,03/15/1991,OF
12532,"Tucker Barnhart",10200,sa501601,571466,01/07/1991,C
12673,"Adeiny Hechavarria",10459,sa541415,588751,04/15/1989,Util
12802,"Orlando Chiquin",,sa546492,591702,,Util
12845,"Mychal Givens",10430,sa500805,571710,05/13/1990,RP
12846,"Tyler Matzek",10058,sa500725,554431,10/19/1990,RP
13063,"Domingo German",17149,sa548637,593334,08/04/1992,RP
13077,"Luis Gonzalez",,sa550522,593574,01/17/1992,RP
13080,"Hector Neris",11804,sa550523,593576,06/14/1989,RP
13105,"Michael Feliz",11903,sa557309,593140,06/28/1993,RP
13110,"Richard Rodriguez",13549,sa548063,593144,03/04/1990,RP
13117,"Xander Bogaerts",12161,sa550735,593428,10/01/1992,SS
13126,"Frankie Montas",14309,sa551258,593423,03/21/1993,SP
13149,"Jorge Bonifacio",12174,sa547943,593528,06/04/1993,Util
13152,"Orlando Caxito",,sa548078,0,,Util
13190,"Wander Suero",15855,sa548041,593833,09/15/1991,RP
13217,"Jorge Polanco",13152,sa548087,593871,07/05/1993,2B/3B
13225,"Heri Olivo",,sa547830,593475,,Util
13232,"Alberto Baldonado",11812,sa550649,593604,02/01/1993,RP
13248,"Domingo Tapia",12178,sa547834,593619,08/04/1991,RP
13277,"Hanser Alberto",11902,sa551306,593643,10/17/1992,Util
13310,"Miguel Sano",12164,sa548088,593934,05/11/1993,Util
13335,"Eduardo Rodriguez",13164,sa548722,593958,04/07/1993,SP
13361,"Wandy Peralta",14295,sa549195,593974,07/27/1991,RP
13372,"Jose Briceno",13151,sa548003,593993,09/19/1992,Util
13407,"Tayron Guerrero",11691,sa551046,594027,01/09/1991,RP
13446,"Jandel Gustave",14665,sa550624,594311,10/12/1992,RP
13457,"Wilmer Difo",14320,sa551022,594694,04/02/1992,Util
13474,"Ryan LaMarre",10700,sa526397,534606,11/21/1988,Util
13479,"Jorge Alfaro",12180,sa551307,595751,06/11/1993,C
13509,"Casey Lawrence",11121,sa549433,596271,10/28/1987,SP/RP
13634,"David Freitas",10619,sa549143,571679,03/18/1989,Util
13702,"Jurickson Profar",10815,sa549315,595777,02/20/1993,OF
13703,"Jimmy Reyes",,sa526353,592670,03/07/1989,Util
13750,"Adam Duvall",10950,sa549078,594807,09/04/1988,Util
13773,"Jonathan Santana",,sa549916,596850,,Util
13816,"Jake Marisnick",11339,sa501252,545350,03/30/1991,Util
13820,"Jesse Biddle",11437,sa548186,592145,10/22/1991,RP
13962,"Steven Matz",13361,sa500832,571927,05/29/1991,SP/RP
13997,"Ryan Casteel",,sa549286,592205,06/06/1991,Util
13999,"Corey Dickerson",10762,sa502420,572816,05/22/1989,Util
14022,"Scott Alexander",10591,sa526516,518397,07/10/1989,RP
14031,"Michael Mariot",10835,sa548433,592527,10/20/1988,SP/RP
14078,"Gary Sanchez",11442,sa549555,596142,12/02/1992,C
14080,"Marcus Jensen",,sa549693,596797,,Util
14084,"Juniel Querecuto",12140,sa549536,578570,09/19/1992,Util
14091,"Henry Ramos",11481,sa548440,592656,04/15/1992,Util
14120,"Brandon Drury",11615,sa549169,592273,08/21/1992,Util
14131,"Max Kepler",12144,sa549507,596146,02/10/1993,OF
14135,"Eddie Rosario",12155,sa548299,592696,09/28/1991,OF
14136,"Matt Schuldt",,sa203891,436382,,Util
14199,"Chasen Shreve",10855,sa549074,592741,07/12/1990,RP
14209,"Kevin Kiermaier",11038,sa549853,595281,04/22/1990,Util
14239,"Rangel Ravelo",10839,sa548335,592660,04/24/1992,Util
14294,"Jacob DeGrom",10954,sa548447,594798,06/19/1988,SP
14296,"Adam Kolarek",10843,sa549067,592473,01/14/1989,RP
14338,"Danny Ayala",,sa549630,596841,,Util
14342,"Ji Man Choi",5452,sa549626,596847,05/19/1991,Util
14377,"Alex Claudio",12890,sa549771,592222,01/31/1992,RP
14393,"Chris Sale",10603,sa392121,519242,03/30/1989,SP
14401,"Aaron Sanchez",11490,sa548178,592717,07/01/1992,RP
14402,"Noah Syndergaard",11762,sa548169,592789,08/29/1992,SP/RP
14409,"Jimmy Nelson",10547,sa548256,519076,06/05/1989,RP
14423,"Rob Brantly",10655,sa546855,542963,07/14/1989,Util
14455,"Niko Goodrum",12092,sa550463,592348,02/28/1992,Util
14464,"Vince Velasquez",11189,sa548239,592826,06/07/1992,SP/RP
14470,"Elliot Soto",11155,sa390666,519303,08/21/1989,Util
14507,"Casey Sadler",11209,sa549692,594987,07/13/1990,RP
14538,"David Buchanan",11176,sa501549,571527,05/11/1989,SP/RP
14565,"Kole Calhoun",11200,sa546813,594777,10/14/1987,Util
14646,"Taijuan Walker",11836,sa548165,592836,08/13/1992,SP/RP
14680,"Austin Brice",17237,sa548458,592169,06/19/1992,RP
14694,"Whit Merrifield",11281,sa526882,593160,01/24/1989,Util
14736,"Heath Hembree",11632,sa548437,592390,01/13/1989,RP
14746,"Sean Nolin",11341,sa503695,543594,12/26/1989,RP
14751,"Zach Neal",11294,sa549283,594943,11/09/1988,RP
14809,"Tommy Kahnle",11384,sa526323,592454,08/07/1989,RP
14852,"Mark Canha",11445,sa526811,592192,02/15/1989,OF
14864,"J.T. Realmuto",11739,sa548255,592663,03/18/1991,C
14866,"Kaleb Cowart",11494,sa548184,592230,06/02/1992,Util
14878,"Drew Maggi",11381,sa549144,543482,05/16/1989,Util
14882,"Yasmani Grandal",11368,sa392198,518735,11/08/1988,C
14893,"Christian Yelich",11477,sa548190,592885,12/05/1991,OF
14895,"Joc Pederson",11899,sa549081,592626,04/21/1992,Util
14899,"Ben Gamel",12160,sa548493,592325,05/17/1992,OF
14901,"George Isabel",,sa561432,599054,,Util
14903,"Jesse Hahn",13287,sa526877,534910,07/30/1989,RP
14906,"Jameson Taillon",11674,sa548151,592791,11/18/1991,SP
14908,"Tony Wolters",11470,sa548197,547172,06/09/1992,Util
14914,"Nick Castellanos",11737,sa548164,592206,03/04/1992,OF
14934,"Manny Machado",11493,sa548155,592518,07/06/1992,3B
14941,"Robbie Ray",11486,sa549085,592662,10/01/1991,SP
14963,"Jose Barajas",8221,,599573,,Util
14982,"Bryce Harper",11579,sa548033,547180,10/16/1992,1B
15063,"Ryan Murphy",,sa3014871,500029,10/08/1999,RP
15081,"Tyler Anderson",12880,sa578009,542881,12/30/1989,SP
15152,"Bret Montgomery",11172,,599701,,Util
15261,"Justin Verlander",8700,sa277705,434378,02/20/1983,SP
15274,"Zack Greinke",1943,sa202781,425844,10/21/1983,RP
15556,"Yu Darvish",13074,sa379610,506433,08/16/1986,SP
15780,"Joel Santos",,sa226200,0,,Util
15962,"Zack Wheeler",10310,sa500722,554430,05/30/1990,SP
15976,"Ryan Weber",10160,sa455204,543901,08/12/1990,RP
16191,"Ildemaro Vargas",13324,sa504705,545121,07/16/1991,1B/2B/3B
16290,"Ryan Tepera",10291,sa502039,572193,11/03/1987,RP
16490,"Didi Gregorius",6012,sa456349,544369,02/18/1990,Util
16675,"Will Smith",8048,sa454956,519293,07/10/1989,RP
16873,"Yolmer Sanchez",11602,sa507106,570560,06/29/1992,2B/SS
17531,"Chris Owings",10030,sa500788,572008,08/12/1991,Util
17636,"Daniel Murphy",4316,sa327744,502517,04/01/1985,Util
17677,"Zach McAllister",2895,sa326693,502083,12/08/1987,RP
17724,"Josh Lindblom",7882,sa454435,458676,06/15/1987,RP
17763,"Merrill Kelly",11156,sa552177,518876,10/14/1988,SP
17790,"Drew Hutchison",10732,sa501759,571800,08/22/1990,RP
17791,"Chase Hutchingson",,sa559104,0,,Util
17933,"Delino DeShields",11379,sa548171,592261,08/16/1992,OF
17983,"Alex Cobb",6562,sa326698,502171,10/07/1987,SP/RP
18048,"Christian Bethancourt",10028,sa503218,542194,09/02/1991,C
18095,"Drew Pomeranz",11426,sa390654,519141,11/22/1988,RP
18106,"Leonys Martin",11846,sa491182,547982,03/06/1988,Util
18109,"C.J. Cron",12546,sa577718,543068,01/05/1990,Util
18110,"James Paxton",11828,sa500770,572020,11/06/1988,RP
18111,"Kolten Wong",12532,sa455324,543939,10/10/1990,Util
18112,"Trevor Bauer",12703,sa597749,545333,01/17/1991,RP
18113,"Sonny Gray",12768,sa455516,543243,11/07/1989,SP
18116,"Gerrit Cole",13125,sa454389,543037,09/08/1990,RP
18118,"Dylan Bundy",12917,sa597750,605164,11/15/1992,RP
18120,"Anthony Rendon",12861,sa455515,543685,06/06/1990,Util
18121,"Archie Bradley",12918,sa597753,605151,08/10/1992,RP
18122,"Francisco Lindor",12916,sa597754,596019,11/14/1993,SS
18123,"Javier Baez",12979,sa597757,595879,12/01/1992,2B/SS/3B/OF
18124,"George Springer",12856,sa526414,543807,09/19/1989,OF
18126,"Brandon Nimmo",12927,sa597760,607043,03/27/1993,OF
18130,"Matt Barnes",12863,sa526376,598264,06/17/1990,RP
18133,"Joe Ross",12972,sa597788,605452,05/21/1993,RP
18135,"Robert Stephenson",13594,sa597792,596112,02/24/1993,RP
18140,"Jake Hager",12198,sa600840,606993,03/04/1993,Util
18142,"Yoenis Cespedes",13110,sa631663,493316,10/18/1985,Util
18146,"Drew Smyly",11760,sa548264,592767,06/13/1989,RP
18152,"Josh Bell",13145,sa597768,605137,08/14/1992,1B
18153,"Trevor Story",12564,sa597765,596115,11/15/1992,SS
18154,"Jackie Bradley Jr.",12984,sa526248,598265,04/19/1990,Util
18156,"Brad Miller",12775,sa597769,543543,10/18/1989,Util
18157,"Andrew Chafin",12988,sa597763,605177,06/17/1990,RP
18158,"Rougned Odor",12282,sa598341,596059,02/03/1994,Util
18159,"Daniel Norris",13475,sa597783,596057,04/25/1993,RP
18160,"Carlos Correa",14162,sa657850,621043,09/22/1994,SS/3B
18162,"Jorge Soler",14221,sa658226,624585,02/25/1992,OF
18163,"Byron Buxton",14161,sa657851,621439,12/18/1993,OF
18164,"Max Fried",13743,sa657860,608331,01/18/1994,SP
18165,"David Dahl",13744,sa657861,621311,04/01/1994,Util
18169,"Tyler Naquin",13359,sa502772,571980,04/24/1991,RP
18171,"Michael Wacha",14078,sa621625,608379,07/01/1991,SP
18172,"Chris Stratton",13761,sa621598,608717,08/22/1990,RP
18173,"Lucas Sims",13470,sa657914,608371,05/10/1994,RP
18183,"Mike Zunino",13265,sa502422,572287,03/25/1991,Util
18184,"Marcus Stroman",13431,sa501969,573186,05/01/1991,SP
18186,"Albert Almora Jr.",14109,sa657859,546991,04/16/1994,OF
18188,"Joey Gallo",14128,sa657856,608336,11/19/1993,Util
18190,"Andrew Heaney",15423,sa502204,571760,06/05/1991,SP
18192,"Daniel Vogelbach",14130,sa597778,596129,12/17/1992,Util
18193,"Kyle Crick",13182,sa597770,605195,11/30/1992,RP
18195,"Lucas Giolito",15474,sa657908,608337,07/14/1994,SP
18196,"Kevin Gausman",14107,sa548347,592332,01/06/1991,SP
18198,"Rafael Montero",12760,sa597041,606160,10/17/1990,RP
18201,"Jose Berrios",14168,sa657852,621244,05/27/1994,SP
18207,"Austin Hedges",12976,sa597799,595978,08/18/1992,C
18210,"Hyun Jin Ryu",14444,sa722329,547943,03/25/1987,RP
18212,"Roman Quinn",13546,sa597773,596451,05/14/1993,Util
18216,"Corey Seager",13624,sa657913,608369,04/27/1994,SS
18219,"Ronald Guzman",14388,sa659670,608597,10/20/1994,Util
18220,"Ken Giles",12910,sa503563,571704,09/20/1990,RP
18221,"Alex Wood",13781,sa621049,622072,01/12/1991,RP
18228,"Lance McCullers Jr.",14120,sa657858,621121,10/02/1993,SP
18231,"Burch Smith",12784,sa503824,572143,04/12/1990,RP
18236,"Tyler Glasnow",14374,sa597835,607192,08/23/1993,SP
18239,"Jesse Winker",13590,sa657865,608385,08/17/1993,Util
18240,"Julio Urias",14765,sa736324,628711,08/12/1996,RP
18243,"Mark Appel",14823,sa501726,571446,07/15/1991,RP
18244,"Jon Gray",14916,sa549112,592351,11/05/1991,SP/RP
18246,"Clint Frazier",15983,sa737437,640449,09/06/1994,Util
18247,"Colin Moran",16909,sa621019,592567,10/01/1992,Util
18254,"Tyrone Taylor",13675,sa657979,621438,01/22/1994,OF
18255,"Max Muncy",13301,sa503373,571970,08/25/1990,3B
18256,"Kris Bryant",15429,sa549381,592178,01/04/1992,Util
18257,"Sean Manaea",15873,sa709610,640455,02/01/1992,SP
18258,"Hunter Renfroe",15464,sa549860,592669,01/28/1992,OF
18263,"Marcus Semien",12533,sa546772,543760,09/17/1990,2B
18272,"J.P. Crawford",15491,sa737507,641487,01/11/1995,SS
18273,"Matt Wisler",12804,sa601046,605538,09/12/1992,RP
18274,"Tommy La Stella",12371,sa598119,600303,01/31/1989,Util
18275,"Carl Edwards Jr.",13607,sa602909,605218,09/03/1991,SP/RP
18276,"Mookie Betts",13611,sa597889,605141,10/07/1992,SS
18277,"Hunter Dozier",15117,sa737439,641531,08/22/1991,Util
18280,"Manuel Margot",14712,sa657504,622534,09/28/1994,OF
18281,"Austin Meadows",15672,sa737440,640457,05/03/1995,Util
18283,"Hunter Harvey",15507,sa737510,640451,12/09/1994,RP
18284,"José Ramírez",13510,sa598784,608070,09/17/1992,3B
18285,"Stephen Piscotty",13367,sa503644,572039,01/14/1991,Util
18286,"Jose Abreu",15676,,547989,01/29/1987,Util
18289,"Raimel Tapia",14350,sa597078,606132,02/04/1994,Util
18290,"Jace Peterson",12325,sa597803,607054,05/09/1990,Util
18295,"Reese McGuire",15674,sa737505,624512,03/02/1995,C
18296,"Corey Knebel",15010,sa737537,608349,11/26/1991,RP
18300,"Dominic Smith",15653,sa737502,642086,06/15/1995,1B/OF
18303,"Amed Rosario",15518,sa732115,642708,11/20/1995,2B/3B
18306,"Tim Anderson",15172,sa737508,641313,06/23/1993,2B/SS
18310,"Aledmys Diaz",15937,sa803159,649557,08/01/1990,Util
18311,"Derek Law",13133,sa502368,571882,09/14/1990,RP
18312,"Aaron Judge",15640,sa549847,592450,04/26/1992,OF
18315,"Matt Andriese",12022,sa577754,542882,08/28/1989,RP
18320,"Franklin Barreto",15519,sa739765,620439,02/27/1996,Util
18322,"Franchy Cordero",14567,sa657481,614173,09/02/1994,Util
18326,"Roenis Elias",12673,sa603328,606273,08/01/1988,RP
18328,"Ryan McMahon",15112,sa737539,641857,12/14/1994,3B
