Name,Team,POS,ADP,PA,mR,mHR,mOBP,mSLG,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Brent Rooker ","ATH","OF/DH",43.5,665,3.30750241406446,5.57029227712238,1.88111887113722,5.86081074487305,16.6197243071971,11.814598579229523,29.43432288642662,"Brent Rooker","19627",667670
"Pete Alonso ","BAL","1B",24.34000015258789,679,3.30750241406446,7.27548379009219,2.14555636815901,7.4427729682651,20.1713155405807,8.135422368250191,29.306737908830936,"Pete Alonso","19251",624413
"Cal Raleigh ","SEA","C/DH",18.190000534057617,637,3.10967401562698,8.55437742481953,-0.172920786353191,5.14506193557102,16.6361925896643,11.291176573865666,28.92736916353003,"Cal Raleigh","21534",663728
"Bobby Witt Jr. ","KCR","SS",3.0799999237060547,679,6.27492839062656,3.43880288591012,2.22973701864903,7.23350378087082,19.1769720760566,8.595597262135074,28.772569338191605,"Bobby Witt Jr.","25764",677951
"Corbin Carroll ","ARI","OF",14.630000114440918,637,5.68144319531414,2.58620712942521,2.45650528809034,5.02559338282723,15.7497489956569,11.814598579229523,28.56434757488644,"Corbin Carroll","25878",682998
"Gunnar Henderson ","BAL","SS/DH",12.289999961853027,672,5.87927159375162,3.43880288591012,3.9212803921506,5.38320216068806,18.6225570325004,8.595597262135074,28.21815429463546,"Gunnar Henderson","26289",683002
"Junior Caminero ","TBR","3B/DH",16.530000686645508,665,3.30750241406446,7.70178166833464,-1.25735628809701,7.33310517928901,17.0850329735911,8.777554449233964,26.862587422825058,"Junior Caminero","28163",691406
"Bryce Harper ","PHI","1B",47.75,665,3.50533081250192,3.43880288591012,5.86933089897281,4.74665634189827,17.5601209392831,8.135422368250191,26.695543307533313,"Bryce Harper","11579",547180
"Julio Rodríguez ","SEA","OF",9.569999694824219,686,4.69230120312677,4.71769652063747,-0.225379982038589,4.05924731673866,13.2438650584643,11.814598579229523,26.058463637693833,"Julio Rodriguez","23697",677594
"Ketel Marte ","ARI","2B/DH",32.02000045776367,637,4.29664440625182,2.58620712942521,4.7472261696485,4.38878193724725,16.0188596425728,8.594590813169399,25.613450455742182,"Ketel Marte","13613",606466
"James Wood ","WSN","OF/DH",35.470001220703125,644,3.30750241406446,2.58620712942521,3.64891253142765,2.83648763194852,12.3791097068659,11.814598579229523,25.193708286095355,"James Wood","29518",695578
"José Ramírez ","CLE","3B/DH",6.070000171661377,679,4.4944728046893,3.43880288591012,2.90912999534507,4.54718791827171,15.3895936042162,8.777554449233964,25.167148053450145,"Jose Ramirez","13510",608070
"Rafael Devers ","SFG","1B/DH",59.52000045776367,686,4.29664440625182,4.29139864239502,3.67666880438169,2.58721850911287,14.8519303621414,8.135422368250191,23.987352730391596,"Rafael Devers","17350",646240
"Freddie Freeman ","LAD","1B",66.9000015258789,651,3.30750241406446,1.30731349469785,6.02976183625169,4.05024343334149,14.6948211783555,8.135422368250191,23.83024354660568,"Freddie Freeman","5361",518692
"Matt Olson ","ATL","1B",49.029998779296875,686,3.7031592109394,4.71769652063747,2.6585706348003,3.44283427906464,14.5222606454418,8.135422368250191,23.657683013691997,"Matt Olson","14344",621566
"Riley Greene ","DET","OF/DH",77.88999938964844,651,2.51618882031456,3.43880288591012,0.430221903553976,3.25396349957633,9.63917710935498,11.814598579229523,22.45377568858451,"Riley Greene","25976",682985
"Mookie Betts ","LAD","SS",58.68000030517578,651,4.4944728046893,1.30731349469785,4.41645134046429,2.52788267292624,12.7461203127777,8.595597262135074,22.341717574912746,"Mookie Betts","13611",605141
"Wyatt Langford ","TEX","OF",40.459999084472656,644,3.50533081250192,1.7336113729403,3.13986344663695,1.08525615660358,9.46406178868274,11.814598579229523,22.27866036791229,"Wyatt Langford","33333",694671
"Roman Anthony ","BOS","OF/DH",51.65999984741211,630,3.90098760937688,-0.82417589651442,5.67519591596401,0.229906013441993,8.98191364226845,11.814598579229523,21.796512221497988,"Roman Anthony","31812",701350
"Byron Buxton ","MIN","OF/DH",72.52999877929688,560,3.30750241406446,3.60302681117952,-2.1473384236861,3.98916305765808,8.7523538592159,11.814598579229523,21.566952438445465,"Byron Buxton","14161",621439
"George Springer ","TOR","OF/DH",93.44999694824219,595,2.81293141797077,1.75413936359897,1.36118546819198,1.31937364290917,7.2476298926709,11.814598579229523,20.06222847190042,"George Springer","12856",543807
"Elly De La Cruz ","CIN","SS",8.520000457763672,672,4.89012960156424,1.7336113729403,1.29185431770707,2.1194106886956,10.0350059809072,8.595597262135074,19.630603243042287,"Elly De La Cruz","26668",682829
"Jackson Chourio ","MIL","OF",19.190000534057617,651,3.90098760937688,1.7336113729403,-2.20118676181485,3.34323288064645,6.77664510114879,11.814598579229523,19.591243680378312,"Jackson Chourio","28806",694192
"Corey Seager ","TEX","SS/DH",95.56999969482422,567,1.58639534765844,2.29539398953001,3.10253237579487,2.94792867243,9.93225038541336,8.595597262135074,19.5278476475484,"Corey Seager","13624",608369
"Michael Busch ","CHC","1B",106.19000244140625,602,2.31836042187708,3.01250500766766,1.41461602740546,3.15542460831887,9.90090606526911,8.135422368250191,19.036328433519277,"Michael Busch","26319",683737
"Mike Trout ","LAA","OF/DH",178.91000366210938,560,1.32921842968972,2.32413317645215,1.92505425463951,0.417563507013877,5.99596936779526,11.814598579229523,18.81056794702478,"Mike Trout","10155",545361
"Francisco Lindor ","NYM","SS",25.969999313354492,651,4.89012960156424,2.15990925118275,0.853107746929367,1.10485768413901,9.0080042838154,8.595597262135074,18.603601545950447,"Francisco Lindor","12916",596019
"Austin Riley ","ATL","3B",62.349998474121094,672,3.10967401562698,3.86510076415257,-1.08304721434111,2.69635504450859,8.58808260994701,8.777554449233964,18.365637059180994,"Austin Riley","18360",663586
"Taylor Ward ","BAL","OF",149.0500030517578,658,2.31836042187708,3.01250500766766,-0.583911084176849,0.627249099954027,5.37420344532192,11.814598579229523,18.18880202455145,"Taylor Ward","17548",621493
"Seiya Suzuki ","CHC","OF/DH",101.41999816894531,602,0.537904835939824,1.7336113729403,1.07591083452009,1.90166887148452,5.24909591488475,11.814598579229523,18.063694494114266,"Seiya Suzuki","30116",673548
"Yandy Díaz ","TBR","1B/DH",138.41000366210938,651,2.31836042187708,-0.397878018271963,5.68907405244104,1.26406054553401,8.87361700158014,8.135422368250191,18.00903936983035,"Yandy Diaz","16578",650490
"William Contreras ","MIL","C/DH",55.61000061035156,610,1.52704682812719,-0.397878018271963,4.13615311604017,0.41904241972048,5.68436434561589,11.291176573865666,17.97554091948155,"William Contreras","20503",661388
"Ben Rice ","NYY","C/1B/DH",53.189998626708984,546,1.60617818750218,2.80790942853889,-0.598263288651268,1.78375221458765,5.59957654197746,11.291176573865666,17.890753115843125,"Ben Rice","29576",700250
"Zach Neto ","LAA","SS",30.06999969482422,665,4.29664440625182,3.01250500766766,-0.834470444721624,1.69160280371971,8.16628177291759,8.595597262135074,17.761879035052644,"Zach Neto","31347",687263
"Hunter Goodman ","COL","C/DH",65.2300033569336,583,0.676384714846056,3.50859805414961,-3.43108421478651,4.23575794723131,4.98965650144048,11.291176573865666,17.280833075306145,"Hunter Goodman","29715",696100
"Teoscar Hernández ","LAD","OF",128.19000244140625,595,0.636819035158561,3.45933087656879,-2.71120721013364,2.99060524737133,4.37554794896505,11.814598579229523,17.190146528194568,"Teoscar Hernandez","13066",606192
"Eugenio Suárez ","CIN","3B",99.83999633789062,616,1.32921842968972,5.99659015536483,-2.98656888917908,3.0356904287849,7.37493012466037,8.777554449233964,17.152484573894338,"Eugenio Suarez","12552",553993
"Matt Chapman ","SFG","3B",164.75,672,3.30750241406446,2.58620712942521,0.953149124821702,0.298776986606148,7.14563565491751,8.777554449233964,16.923190104151473,"Matt Chapman","16505",656305
"Ian Happ ","CHC","OF",183.25999450683594,658,2.31836042187708,0.881015616455396,1.96133433977666,-1.15365029348422,4.00706008462492,11.814598579229523,16.82165866385445,"Ian Happ","17919",664023
"Shea Langeliers ","ATH","C/DH",54.56999969482422,524,1.05225867187725,3.32453046567952,-3.03632931659324,3.0878710224576,4.42833084342114,11.291176573865666,16.719507417286806,"Shea Langeliers","25816",669127
"Iván Herrera ","STL","C/DH",172.75,594,0.458773476564835,-0.799542307724006,4.66011144385896,-0.112402755370599,4.20693985732919,11.291176573865666,16.498116431194852,"Ivan Herrera","20599",671056
"Cody Bellinger ","NYY","1B/OF",79.86000061035156,616,1.92270362500214,1.30731349469785,-0.695848007620915,1.04552184795238,3.57969096003146,11.814598579229523,16.394289539260978,"Cody Bellinger","15998",641355
"Munetaka Murakami ","CHW","1B",999,588,0.973127312502269,3.91436794173339,1.79701784282403,0.540239952837976,7.22475304989766,8.135422368250191,16.360175418147843,"Munetaka Murakami","sa3063258",808959
"Jackson Merrill ","SDP","OF",69.58000183105469,630,1.52704682812719,1.30731349469785,-1.45149127110581,2.14960986036927,3.5324789120885,11.814598579229523,16.34707749131802,"Jackson Merrill","29490",701538
"Kyle Stowers ","MIA","OF/DH",134.75,609,0.142248039064877,2.58620712942521,-1.04050097328215,1.75226677385724,3.44022096906517,11.814598579229523,16.25481954829469,"Kyle Stowers","26151",669065
"Drake Baldwin ","ATL","C/DH",80.41999816894531,571,0.320293597658604,1.00007796227571,1.10789092944769,1.53103828389013,3.95930077327213,11.291176573865666,16.250477347137796,"Drake Baldwin","31539",686948
"Tyler Soderstrom ","ATH","1B/OF",83.08000183105469,588,-0.0160146796851019,2.20917642876357,-1.00275212352484,1.63426157469697,2.82467120025061,11.814598579229523,15.63926977948013,"Tyler Soderstrom","27467",691016
"Jo Adell ","LAA","OF",119.12999725341797,609,0.142248039064877,5.14399439887993,-4.94254975970244,2.00073901632235,2.34443169456471,11.814598579229523,15.159030273794237,"Jo Adell","20220",666176
"Pete Crow-Armstrong ","CHC","OF",32.599998474121094,644,3.10967401562698,2.15990925118275,-4.58203606663889,1.33346277227852,2.02100997244937,11.814598579229523,14.83560855167889,"Pete Crow-Armstrong","27769",691718
"Geraldo Perdomo ","ARI","SS",76.54000091552734,686,4.69230120312677,-2.52936740948423,5.5385560697886,-2.58674167282934,5.11474819060179,8.595597262135074,14.710345452736869,"Geraldo Perdomo","22799",672695
"Andy Pages ","LAD","OF",133.27999877929688,602,0.537904835939824,2.15990925118275,-2.9123011933155,2.03067256120584,1.81618545501292,11.814598579229523,14.630784034242444,"Andy Pages","24816",681624
"Vinnie Pasquantino ","KCR","1B/DH",76.63999938964844,637,0.340076437502351,3.01250500766766,-0.427445328748542,2.47808197371715,5.40321809013862,8.135422368250191,14.538640458388805,"Vinnie Pasquantino","27676",686469
"Trea Turner ","PHI","SS",26.31999969482422,644,3.90098760937688,-0.82417589651442,0.59461802268344,0.537448465303548,4.20887820084944,8.595597262135074,13.804475462984522,"Trea Turner","16252",607208
"Alex Bregman ","CHC","3B",118.37999725341797,672,2.91184561718951,0.881015616455396,1.71672275200776,-1.52212234227348,3.98746164337917,8.777554449233964,13.76501609261314,"Alex Bregman","17678",608324
"Kerry Carpenter ","DET","OF/DH",235.07000732421875,490,0.340076437502351,1.7589292891887,-3.13997784044387,1.95587519056727,0.914903076814441,11.814598579229523,13.729501656043965,"Kerry Carpenter","25961",681481
"Will Smith ","LAD","C",97.12999725341797,500,0.933561632814769,-0.413616083340918,1.54634245017413,-0.630203918646828,1.43608408100116,11.291176573865666,13.727260654866832,"Will Smith","19197",669257
"Christian Yelich ","MIL","OF/DH",126.66999816894531,630,1.72487522656467,-0.397878018271963,1.85931037095904,-2.38727324920279,0.799034330048956,11.814598579229523,13.613632909278481,"Christian Yelich","11477",592885
"Alec Burleson ","STL","1B/OF/DH",176.57000732421875,602,-0.451237156247543,0.454717738212942,-0.196711877456658,0.77691682437149,0.583685528880231,11.814598579229523,13.398284108109754,"Alec Burleson","27615",676475
"Manny Machado ","SDP","3B/DH",37.4900016784668,644,1.52704682812719,2.15990925118275,-0.932529231688668,0.77638557079113,3.53081241841241,8.777554449233964,13.308366867646374,"Manny Machado","11493",592518
"Matt Wallner ","MIN","OF/DH",362.42999267578125,476,0.0235510000023931,0.963811906548078,-0.827329078222978,0.2482057127976,0.408239541125092,11.814598579229523,13.222838120354615,"Matt Wallner","26466",670242
"Spencer Torkelson ","DET","1B/DH",183.67999267578125,637,1.52704682812719,3.01250500766766,-0.936494413539244,0.269374695303016,3.87243211755863,8.135422368250191,13.007854485808815,"Spencer Torkelson","27465",679529
"Willson Contreras ","BOS","1B/DH",168.5399932861328,609,0.537904835939824,0.881015616455396,2.09797418595208,0.30964025753458,3.82653489588188,8.135422368250191,12.961957264132069,"Willson Contreras","11609",575929
"Wilyer Abreu ","BOS","OF",204.83999633789062,518,0.577470515627319,0.365078906772759,-0.893112720211174,-0.120089251464876,-0.0706525492759756,11.814598579229523,12.743946029953548,"Wilyer Abreu","23772",677800
"Daulton Varsho ","TOR","OF",198.39999389648438,595,1.62596102734593,3.45933087656879,-5.93584561078318,0.751964424073708,-0.0985892827947535,11.814598579229523,12.716009296434772,"Daulton Varsho","19918",662139
"Jonathan Aranda ","TBR","1B/DH",194.9600067138672,609,1.32921842968972,0.0284198599704898,2.94771105455344,-0.765045463579175,3.54030388063447,8.135422368250191,12.675726248884665,"Jonathan Aranda","21837",666018
"Randy Arozarena ","SEA","OF",89.63999938964844,679,2.31836042187708,0.881015616455396,-0.315508405304476,-3.32315451682751,-0.439286883799502,11.814598579229523,12.375311695430021,"Randy Arozarena","19290",668227
"Bo Bichette ","NYM","SS/DH",94.80000305175781,658,1.72487522656467,-0.82417589651442,1.36810460449593,0.467514984978672,2.73631891952486,8.595597262135074,12.331916181659935,"Bo Bichette","19612",666182
"Oneil Cruz ","PIT","OF",94.19999694824219,539,1.15117287109599,0.705159224248777,-1.68957816839133,-0.707144268967455,-0.540390342014013,11.814598579229523,12.274208237215511,"Oneil Cruz","21711",665833
"Brandon Nimmo ","TEX","OF",143.4499969482422,630,1.52704682812719,-0.397878018271963,0.330180525661644,-2.13853537994749,-0.679186044430622,11.814598579229523,12.135412534798903,"Brandon Nimmo","12927",607043
"Trent Grisham ","NYY","OF",251.77000427246094,546,1.21052139062724,1.52901579381154,-1.02313172295195,-2.40505725410111,-0.688651792614285,11.814598579229523,12.125946786615238,"Trent Grisham","18564",663757
"Jazz Chisholm Jr. ","NYY","2B/3B",19.700000762939453,602,1.13139003125224,3.01250500766766,-1.89420302373409,0.0309688433957953,2.28066085858161,8.594590813169399,11.875251671751005,"Jazz Chisholm Jr.","20454",665862
"Michael Harris II ","ATL","OF",99.80000305175781,581,0.12246519922113,0.532724102715908,-3.36867230616694,1.7499467096484,-0.963536294581504,11.814598579229523,11.85106228464802,"Michael Harris II","25931",671739
"Adolis García ","PHI","OF/DH",216.32000732421875,609,0.537904835939824,3.01250500766766,-5.11289365160777,0.587780418093004,-0.974703389907278,11.814598579229523,11.839895189322243,"Adolis Garcia","19287",666969
"Heliot Ramos ","SFG","OF",218.91000366210938,637,0.933561632814769,0.454717738212942,-1.10683830544457,-1.3925873989718,-1.11114633338866,11.814598579229523,11.703452245840863,"Heliot Ramos","22515",671218
"Mickey Moniak ","COL","OF/DH",245.9199981689453,483,0.280727917971109,0.508774841383482,-4.06293141920388,2.07182595230887,-1.20160270754043,11.814598579229523,11.6129958716891,"Mickey Moniak","19956",666160
"Jose Altuve ","HOU","2B/OF/DH",115.30999755859375,623,2.12053202343961,0.0284198599704898,0.580739886206418,-0.735643172276042,1.99404859734047,8.594590813169399,11.588639410509876,"Jose Altuve","5417",514888
"Adley Rutschman ","BAL","C/DH",150.6199951171875,566,-0.17427739843508,-0.684585560035426,1.14062361164951,-1.04115989872755,-0.759399245548557,11.291176573865666,11.531777328317109,"Adley Rutschman","26288",668939
"Jarren Duran ","BOS","OF",66.30999755859375,602,1.32921842968972,-2.10306953124178,-0.876104854152694,0.289507476418798,-1.36044847928595,11.814598579229523,11.454150099943575,"Jarren Duran","24617",680776
"Willy Adames ","SFG","SS",130.77999877929688,679,2.51618882031456,2.58620712942521,-1.84265565967658,-1.40291941631987,1.85682087374332,8.595597262135074,11.45241813587839,"Willy Adames","15986",642715
"Kazuma Okamoto ","TOR","3B",999,560,-0.451237156247543,1.8978352982097,-0.44984727740867,0.655969358921098,1.65272022347458,8.777554449233964,11.430274672708547,"Kazuma Okamoto","sa3063134",672960
"Josh Naylor ","SEA","1B/DH",66.02999877929688,623,0.340076437502351,0.881015616455396,0.242034693321046,0.806584742464803,2.26971148974359,8.135422368250191,11.405133857993784,"Josh Naylor","18839",647304
"Lawrence Butler ","ATH","OF",158.75,581,1.1116071914085,0.532724102715908,-2.60509867898089,-0.627764193928442,-1.58853157878492,11.814598579229523,11.226067000444603,"Lawrence Butler","22542",671732
"Isaac Paredes ","HOU","3B/DH",238.27000427246094,504,0.0631166796898878,0.422557280617048,0.994667607709031,-0.803139334120065,0.677202233895904,8.777554449233964,10.454756683129865,"Isaac Paredes","20036",670623
"Marcell Ozuna ","PIT","DH",372.30999755859375,525,-0.352322957028807,1.18893547633552,0.877595136224911,-0.55444573599647,1.15976191953516,8.135422368250191,10.295184287785348,"Marcell Ozuna","10324",542303
"Gleyber Torres ","DET","2B/DH",249.80999755859375,658,2.12053202343961,-1.25047377475687,2.6387447255474,-2.91494815938705,0.593854814843105,8.594590813169399,10.188445628012504,"Gleyber Torres","16997",650402
"Steven Kwan ","CLE","OF",169.52000427246094,665,2.71401721875203,-4.23455892245404,3.23792223360399,-4.37797308361566,-2.66059255371367,11.814598579229523,10.15400602551585,"Steven Kwan","24610",680757
"Tyler O'Neill ","BAL","OF/DH",519.5399780273438,434,0.0631166796898878,0.709949149838496,-2.7977417753976,-0.657387840890056,-2.68206378675926,11.814598579229523,10.132534792470256,"Tyler O'Neill","15711",641933
"Jac Caglianone ","KCR","1B/OF/DH",175.85000610351562,455,-0.352322957028807,0.197433710829609,-2.57610905399634,-0.329225625464055,-3.06022392565959,11.814598579229523,9.754374653569931,"Jac Caglianone","35041",695506
"Max Muncy ","LAD","3B",240.00999450683594,455,0.438990636721088,0.623731589072062,0.307841562842541,-1.64205157169485,-0.271487783059158,8.777554449233964,9.506066666174803,"Max Muncy","13301",571970
"Bryan Reynolds ","PIT","OF/DH",204.6199951171875,644,0.142248039064877,-0.82417589651442,-0.762185339783336,-2.07919954376087,-3.52331274099375,11.814598579229523,9.291285838235778,"Bryan Reynolds","19326",668804
"Addison Barger ","TOR","3B/OF",195.52999877929688,518,-0.0160146796851019,-0.0612189714696948,-2.67478451697863,-0.886435640346535,-3.63845380847996,11.814598579229523,9.176144770749561,"Addison Barger","24598",680718
"Salvador Perez ","KCR","C/1B/DH",91.36000061035156,618,-1.44037914843491,2.58620712942521,-4.68207744453122,0.269109068512836,-3.26714039502809,11.291176573865666,9.024036178837575,"Salvador Perez","7304",521692
"Jorge Polanco ","NYM","2B/3B/DH",212.69000244140625,539,-0.233625917966323,1.13145710249123,-1.01216778262058,-0.508207098921257,-0.622543697016934,8.594590813169399,8.972047116152465,"Jorge Polanco","13152",593871
"Lars Nootbaar ","STL","OF",740.6699829101562,497,0.00376816015864559,-2.10649080191553,0.580763113739718,-2.4084865028399,-3.93044603085706,11.814598579229523,8.884152548372462,"Lars Nootbaar","21454",663457
"CJ Abrams ","WSN","SS",64.5199966430664,630,2.91184561718951,-0.397878018271963,-2.63993333259254,-0.686108099857128,-0.812073833532131,8.595597262135074,8.783523428602944,"CJ Abrams","25768",682928
"Jacob Wilson ","ATH","SS",193.07000732421875,616,0.537904835939824,-2.95566528772668,1.84741482540731,-0.24823382432335,-0.818579450702901,8.595597262135074,8.777017811432174,"Jacob Wilson","33266",805779
"Ryan O'Hearn ","PIT","1B/OF/DH",280.5400085449219,546,-0.372105796872554,-2.30766511037054,0.844703315230817,-2.34572141791448,-4.18078900992676,11.814598579229523,8.633809569302763,"Ryan O'Hearn","16442",656811
"Francisco Alvarez ","NYM","C",167.42999267578125,438,-0.213843078122575,0.693526757311556,-3.09489207546734,-1.10899467050208,-3.72420306678044,11.291176573865666,8.566973507085223,"Francisco Alvarez","26121",682626
"Ramón Laureano ","SDP","OF/DH",223.60000610351562,553,0.0828995195336346,0.221382972162034,-3.15447265293614,-1.52658779240191,-4.37677795364238,11.814598579229523,8.43782062558714,"Ramon Laureano","17128",657656
"Colton Cowser ","BAL","OF",253.11000061035156,504,0.0631166796898878,-0.0037405976254049,-2.56867598582588,-1.86802429146611,-4.37732419522751,11.814598579229523,8.437274384002016,"Colton Cowser","29591",681297
"Giancarlo Stanton ","NYY","OF/DH",256.2900085449219,413,-1.1040708710912,2.07506034533229,-4.71686564307628,-0.66740996031625,-4.41328612915145,11.814598579229523,8.401312450078073,"Giancarlo Stanton","4949",519317
"Kevin McGonigle ","DET","SS",999,532,1.68530954687717,-1.82388885828379,0.0168943272921861,-1.07860285517854,-1.20028783929298,8.595597262135074,8.395309422842093,"Kevin McGonigle","sa3022895",805808
"Brendan Donovan ","SEA","2B/SS/OF",270.8599853515625,560,-0.0555803593725966,-3.64403711894219,2.00923490512953,-3.07536430669846,-4.76574687988371,11.814598579229523,8.04885169934581,"Brendan Donovan","24679",680977
"Jorge Soler ","LAA","OF/DH",663.1099853515625,511,-0.471019996091292,0.820115971937352,-3.17286966143797,-2.0835764516259,-4.90735013721781,11.814598579229523,7.907248442011717,"Jorge Soler","14221",624585
"Kyle Manzardo ","CLE","1B/DH",246.8800048828125,518,-0.609499874997522,1.21767466325767,-1.82703023930256,-0.0504213979301804,-1.2692768489726,8.135422368250191,7.866145519277592,"Kyle Manzardo","29794",700932
"Nolan Schanuel ","LAA","1B",586.5700073242188,616,0.340076437502351,-2.52936740948423,4.05395505647545,-3.15308838450408,-1.28842430001052,8.135422368250191,7.8469980682396745,"Nolan Schanuel","33189",694384
"Ezequiel Tovar ","COL","SS",208.2899932861328,651,1.72487522656467,0.0284198599704898,-4.06902179999761,0.517315684187766,-1.79841102927469,8.595597262135074,7.797186232860386,"Ezequiel Tovar","24064",678662
"Ceddanne Rafaela ","BOS","2B/OF",127.63999938964844,609,1.13139003125224,-1.25047377475687,-4.2651393739317,-1.13378313915862,-5.51800625659494,11.814598579229523,7.296592322634586,"Ceddanne Rafaela","24262",678882
"TJ Friedl ","CIN","OF",263.3500061035156,623,0.735733234377298,-2.52936740948423,1.25815027197716,-5.0934562661275,-5.62894016925727,11.814598579229523,7.185658409972251,"TJ Friedl","19522",670770
"Alejandro Kirk ","TOR","C/DH",159.22999572753906,495,-1.9349501445286,-2.09827960565206,1.15420669807528,-2.27738410456822,-5.1564071566736,11.291176573865666,7.134769417192068,"Alejandro Kirk","22581",672386
"Sal Stewart ","CIN","1B/3B",174.4499969482422,504,0.458773476564835,-0.85633635411031,-1.29605327384913,-0.972674212863126,-2.66629036425773,8.777554449233964,7.11126408497623,"Sal Stewart","31505",701398
"Yainer Diaz ","HOU","C/DH",110.3499984741211,509,-0.827111113278746,-0.450566466526532,-3.95821203049448,0.0371632738979282,-5.19872633640183,11.291176573865666,7.092450237463841,"Yainer Diaz","23003",673237
"Brandon Lowe ","PIT","2B/DH",183.63999938964844,546,0.221379398439867,1.10271791556909,-3.2276893630948,-0.69409134098774,-2.59768339007358,8.594590813169399,6.996907423095813,"Brandon Lowe","18882",664040
"Samuel Basallo ","BAL","C/DH",170.1199951171875,445,-0.747979753903754,0.664787570389412,-4.37847872777546,-0.906805336243875,-5.36847624753368,11.291176573865666,6.92270032633198,"Samuel Basallo","28824",694212
"Josh Bell ","MIN","1B/DH",657.010009765625,574,-0.92602531249748,-0.291132466846854,0.546323011510003,-1.59603429027812,-2.26686905811245,8.135422368250191,6.868553310137737,"Josh Bell","13145",605137
"Mike Yastrzemski ","ATL","OF",655.219970703125,476,-0.17427739843508,-1.16767748466418,-2.18611503161505,-2.4383757765917,-5.96644569130601,11.814598579229523,6.848152887923517,"Mike Yastrzemski","14854",573262
"Jordan Westburg ","BAL","2B/3B/DH",572.4199829101562,427,0.79508175390854,-0.540205297966717,-3.04130237746158,-0.0540277311957581,-2.84045365271551,8.594590813169399,6.754137160453883,"Jordan Westburg","27815",676059
"Agustín Ramírez ","MIA","C/DH",84.38999938964844,500,0.142248039064877,-0.413616083340918,-3.88285359061826,-1.48635094217897,-5.64057257707326,11.291176573865666,6.650603996792407,"Agustin Ramirez","26546",682663
"Maikel Garcia ","KCR","2B/3B/SS/OF/DH",65.94999694824219,665,2.91184561718951,-3.38196316596914,0.267808375349802,-2.81587801454922,-3.01818718797904,8.594590813169399,6.576403625190359,"Maikel Garcia","22715",672580
"Brandon Marsh ","PHI","OF",631.1799926757812,497,-0.589717035153775,-2.53278868015798,-0.86022089921708,-2.28928357688629,-6.27201019141512,11.814598579229523,6.542588387814402,"Brandon Marsh","20202",669016
"Willi Castro ","COL","2B/3B/SS/OF",258.5299987792969,539,0.162030878908625,-3.1315216799333,-0.332774805924551,-3.03558572691556,-6.33785133386479,11.814598579229523,6.476747245364737,"Willi Castro","17338",650489
"Carlos Correa ","HOU","3B/SS",281.04998779296875,567,-0.589717035153775,-1.11498903640962,-0.206286675344685,-1.52988422774561,-3.44087697465368,8.777554449233964,6.33667747458028,"Carlos Correa","14162",621043
"Christian Walker ","HOU","1B",211.00999450683594,588,-0.411671476560049,2.20917642876357,-3.71834143938368,-1.04225352413443,-2.96309001131458,8.135422368250191,6.172332356935607,"Christian Walker","13419",572233
"Jeremy Peña ","HOU","SS",116.75,609,0.735733234377298,-1.67677165299932,-0.956320322792136,-1.55152463357662,-3.44888337499077,8.595597262135074,6.146713887144304,"Jeremy Pena","21636",665161
